EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,2,4,2,4,5,4,4,4,4,2.44,0.71,3.78,1.50,3.66,0.25,4.57,3.92,3.34,3.66,H
4,2,4,2,4,5,4,4,4,4,2.44,0.71,3.78,1.50,3.66,0.25,4.57,3.92,3.34,3.66,H
2,1,2,2,3,5,3,4,5,4,2.64,0.74,1.27,2.26,1.32,0.50,1.29,1.12,1.26,1.04,H
3,1,3,4,3,5,3,3,4,3,3.97,0.74,3.82,0.65,3.97,0.25,3.87,3.28,0.95,4.98,H
4,2,4,4,4,5,3,3,4,5,1.74,0.36,2.70,1.62,2.61,0.50,1.29,1.09,2.39,1.19,H
2,2,2,2,2,4,1,1,2,2,6.16,2.49,2.95,5.26,4.25,0.40,1.61,1.79,5.56,4.41,H
4,2,4,5,2,4,2,2,5,4,1.39,1.42,2.16,1.91,2.43,1.61,1.97,2.46,1.26,2.09,H
2,1,2,1,2,4,2,2,2,4,5.28,1.48,2.53,2.61,3.64,0.81,2.96,3.69,4.77,1.04,H
4,1,4,2,3,4,2,3,4,2,1.39,0.74,2.16,2.26,1.32,1.61,1.48,1.09,1.91,1.89,H
4,2,2,4,2,4,3,2,4,2,1.39,1.78,2.11,1.30,3.04,1.61,0.65,3.07,1.91,3.15,H
4,2,4,4,3,4,4,3,4,4,2.44,0.36,3.78,2.27,1.32,2.82,4.57,1.09,3.34,3.66,H
2,2,4,2,4,4,4,2,3,4,3.52,1.42,2.70,3.01,2.61,2.02,3.27,2.46,0.58,2.61,H
4,3,3,3,4,4,4,4,4,5,2.09,2.23,1.91,2.17,3.13,2.42,3.92,3.36,2.86,0.59,H
4,2,4,4,4,5,4,3,4,4,2.44,0.36,3.78,2.27,3.66,0.25,4.57,0.55,3.34,3.66,H
4,2,4,4,4,4,4,4,3,4,2.79,0.36,4.32,2.60,4.18,3.23,5.23,4.48,0.58,4.18,H
2,1,4,5,4,5,4,2,2,2,3.52,0.74,1.62,1.91,1.57,0.50,1.96,2.46,3.18,2.52,H
4,2,2,4,4,4,4,3,5,5,1.74,0.71,0.84,1.62,2.61,2.02,3.27,0.55,1.26,1.19,H
4,2,4,4,4,4,5,4,4,2,2.44,0.71,3.78,2.27,3.66,2.82,1.13,3.92,3.34,1.26,H
4,2,3,3,4,5,2,2,3,2,0.70,1.42,1.91,2.17,1.04,0.25,1.97,2.46,1.74,2.52,H
5,4,2,4,2,4,1,1,5,5,2.17,2.45,0.84,0.97,1.21,1.21,1.61,1.79,1.89,1.78,H
5,1,4,2,2,4,4,4,5,4,1.45,0.74,2.70,1.50,1.21,2.02,3.27,2.80,1.26,2.61,H
5,3,3,4,5,5,3,4,5,5,3.61,2.23,1.91,0.65,4.03,1.24,1.94,1.12,3.15,2.97,H
4,2,3,4,3,4,2,3,4,5,1.39,0.71,1.91,1.30,1.98,1.61,0.99,1.64,1.91,0.59,H
4,3,4,4,2,5,3,4,4,4,2.09,1.48,3.24,1.95,0.61,0.25,1.29,3.36,2.86,3.13,H
3,2,2,3,1,5,4,4,3,1,1.98,0.71,0.84,2.17,2.21,0.25,1.31,1.12,1.74,2.42,H
4,2,2,2,2,5,2,2,2,2,0.35,2.85,3.37,6.02,4.86,0.25,3.95,4.92,6.36,5.04,H
4,3,2,4,4,4,2,3,4,4,2.09,1.48,0.84,1.95,3.13,2.42,0.99,1.09,2.86,3.13,H
4,2,4,2,5,5,3,2,3,1,0.70,1.07,1.08,2.26,1.61,0.50,1.29,1.84,1.16,1.21,H
3,2,3,4,2,4,4,3,3,2,2.65,1.07,2.55,0.97,1.82,1.21,1.96,2.19,2.32,1.89,H
5,1,3,5,1,5,1,1,5,4,2.89,2.97,0.64,3.82,4.43,1.00,3.22,3.58,2.52,0.52,H
4,2,4,5,3,5,4,4,5,2,1.39,0.71,2.16,2.86,0.66,0.75,2.61,2.24,1.89,1.26,H
3,1,4,3,2,4,1,1,2,2,1.32,2.23,1.08,1.45,1.82,0.81,2.42,2.68,2.38,1.89,H
4,2,3,3,3,4,2,2,3,3,0.70,1.07,3.19,3.61,3.31,0.81,1.48,1.84,2.90,4.15,H
4,1,2,4,4,5,2,2,2,2,1.04,0.74,2.11,0.97,1.57,0.25,2.47,3.07,3.97,3.15,H
3,3,2,4,3,4,2,2,2,2,1.98,2.23,2.11,0.65,1.98,0.81,2.47,3.07,3.97,3.15,H
5,2,5,2,5,5,5,4,4,3,3.61,0.71,6.05,1.50,4.03,1.24,5.65,1.12,0.95,0.83,H
4,2,4,3,4,1,4,3,4,5,1.74,0.36,2.70,1.45,2.61,1.69,3.27,1.09,2.39,0.59,H
4,1,5,4,5,5,4,4,4,5,1.74,0.74,4.84,1.62,3.22,1.00,3.27,2.80,2.39,2.37,H
4,2,3,4,4,4,4,4,4,3,2.44,0.36,1.27,2.27,3.66,2.82,4.57,3.92,3.34,1.66,H
4,2,3,4,4,4,4,4,4,3,2.44,0.36,1.27,2.27,3.66,2.82,4.57,3.92,3.34,1.66,H
5,4,2,4,3,5,1,1,4,4,1.45,3.27,0.42,1.30,0.66,0.50,1.61,1.79,1.91,2.09,H
3,2,5,2,3,4,4,3,5,4,1.98,0.71,2.42,1.50,1.98,1.21,1.96,1.64,1.26,1.57,H
5,4,4,4,3,4,1,2,4,1,0.72,4.09,2.70,1.62,0.66,2.02,1.61,0.61,2.39,2.42,H
4,3,4,4,4,4,3,4,4,4,2.79,1.48,4.32,2.60,4.18,3.23,1.29,4.48,3.82,4.18,H
2,2,2,4,5,4,2,3,3,2,4.40,1.78,2.11,0.65,0.81,0.81,2.47,1.09,1.16,3.15,H
4,2,2,4,4,5,3,3,4,4,1.74,0.71,0.84,1.62,2.61,0.25,1.29,1.09,2.39,2.61,H
5,4,2,4,4,5,1,5,5,5,3.61,2.45,0.42,0.97,1.57,1.24,0.81,5.78,3.15,2.97,H
4,4,3,4,1,4,2,3,5,2,1.39,3.27,1.27,1.30,1.11,1.61,0.99,1.09,0.63,1.26,H
4,4,4,4,4,4,3,3,4,2,2.44,5.72,3.78,2.27,3.66,2.82,1.29,1.09,3.34,0.63,H
4,2,2,4,3,4,2,3,5,4,1.39,1.07,1.27,1.30,1.32,1.61,1.48,1.09,0.63,2.09,H
4,3,3,3,4,4,3,3,4,3,1.39,4.45,3.82,4.34,2.09,1.61,3.87,3.28,1.91,4.98,H
2,1,2,1,3,5,3,2,4,5,2.64,1.48,1.27,2.61,1.32,0.50,1.29,1.84,0.48,1.19,H
4,2,4,4,4,5,4,4,4,5,2.44,0.36,3.78,2.27,3.66,0.50,4.57,3.92,3.34,1.19,H
3,3,1,4,3,5,5,5,4,3,2.65,2.97,1.39,0.65,2.65,0.75,3.39,3.47,0.95,3.32,H
5,1,4,1,3,5,3,3,4,1,1.45,2.23,1.08,3.92,1.98,0.50,1.94,1.64,0.95,3.63,H
5,4,2,3,1,4,3,4,2,4,0.72,3.27,0.84,1.45,1.11,1.61,1.29,2.24,1.59,2.09,H
2,1,2,3,3,5,1,1,3,1,1.76,2.97,0.84,2.17,1.98,0.25,3.22,3.58,1.74,4.84,H
4,4,3,2,3,4,2,2,5,5,1.04,2.45,1.27,2.26,1.32,1.21,1.48,1.84,1.26,1.19,H
2,2,3,4,2,4,2,2,2,2,6.16,2.49,0.64,0.65,4.25,0.81,3.45,4.30,5.56,4.41,H
4,1,5,4,2,5,1,1,5,3,0.70,2.23,3.63,0.65,0.61,0.75,2.42,2.68,1.89,0.83,H
5,5,1,1,1,5,1,1,5,5,3.61,6.72,6.93,6.53,5.53,1.24,4.03,4.47,3.15,2.97,H
5,5,1,1,1,5,1,1,5,5,3.61,6.72,6.93,6.53,5.53,1.24,4.03,4.47,3.15,2.97,H
4,2,2,5,5,5,1,1,3,3,0.35,0.71,0.84,2.86,2.42,0.75,1.61,1.79,1.16,1.66,H
4,3,5,4,3,5,4,4,4,2,1.74,1.48,2.42,1.62,1.32,0.50,3.27,2.80,2.39,0.63,H
4,2,4,4,2,5,2,2,5,5,1.04,1.42,1.62,0.97,2.43,0.75,1.97,2.46,1.89,1.78,H
4,3,3,3,4,5,1,2,5,4,1.04,2.23,1.91,2.17,1.57,0.50,0.81,0.61,1.26,1.57,H
5,3,4,5,4,5,5,5,5,5,5.06,0.74,1.08,6.68,1.04,1.74,7.91,8.09,4.41,4.15,H
3,2,3,4,4,1,2,3,3,4,2.65,0.71,2.55,0.97,1.57,1.69,0.99,2.19,2.32,1.57,H
3,5,2,1,4,5,1,4,3,4,1.32,2.69,0.42,2.61,1.57,0.50,1.61,1.68,1.16,1.57,H
4,3,3,1,3,5,1,1,3,5,0.35,2.97,2.55,3.92,2.65,0.50,2.42,2.68,2.32,1.19,H
2,1,4,4,2,5,1,3,5,3,1.76,1.48,1.08,0.65,1.21,0.50,1.61,1.09,1.26,1.66,H
4,2,4,5,5,4,2,4,5,5,1.39,0.71,2.16,3.82,3.22,1.61,0.99,2.24,2.52,2.37,H
4,1,2,2,1,5,2,5,4,5,0.70,1.48,1.27,2.26,2.21,0.75,1.48,3.47,0.95,1.78,H
1,1,4,2,2,4,2,2,3,4,3.82,1.48,1.62,3.01,2.43,1.21,1.97,2.46,0.58,1.57,H
2,2,4,4,2,5,2,2,4,5,4.40,1.78,1.62,0.97,3.04,0.50,2.47,3.07,1.43,1.19,H
3,1,2,4,3,5,1,1,5,5,1.32,2.23,0.42,0.32,1.32,0.75,2.42,2.68,1.89,1.78,H
4,3,5,5,2,5,2,5,5,5,0.35,0.74,7.26,5.73,1.21,1.49,0.99,6.93,3.78,3.56,H
4,3,2,2,2,4,2,2,4,3,1.04,1.48,2.11,3.76,3.04,1.21,2.47,3.07,1.43,1.66,H
2,1,3,3,2,4,2,3,5,5,2.64,0.74,1.91,2.17,1.82,0.40,1.48,1.64,1.26,1.19,H
2,4,4,4,2,4,2,2,2,2,5.28,3.27,2.16,1.30,3.64,1.61,2.96,3.69,4.77,3.78,H
5,2,2,3,2,5,2,1,5,5,2.89,1.42,1.69,0.72,2.43,1.00,1.97,0.89,2.52,2.37,H
2,1,5,5,2,4,2,1,5,4,2.64,1.48,3.63,2.86,1.82,0.81,1.48,1.79,1.89,1.04,H
3,2,3,3,2,4,2,2,5,4,1.98,1.42,1.91,2.17,2.43,0.81,1.97,2.46,0.63,1.04,H
3,4,3,4,5,5,3,3,3,4,3.31,2.45,3.19,0.97,1.61,0.50,3.23,2.73,2.90,1.57,H
2,3,2,3,1,5,3,4,3,1,1.76,2.97,0.84,2.89,2.21,0.25,2.58,0.56,2.32,2.42,H
3,2,3,4,4,1,2,3,3,4,2.65,0.71,2.55,0.97,1.57,1.69,0.99,2.19,2.32,1.57,H
4,4,2,4,4,4,2,3,4,4,2.44,5.72,0.84,2.27,3.66,2.82,0.99,0.55,3.34,3.66,H
4,3,2,4,3,4,3,5,3,5,1.04,2.97,0.42,0.97,2.65,1.21,2.58,2.31,2.32,1.19,H
4,4,4,5,4,4,4,3,5,4,2.44,5.72,3.78,1.91,3.66,2.82,4.57,0.55,1.26,3.66,H
2,1,2,2,2,2,2,2,2,2,7.92,0.74,3.80,6.77,5.47,17.18,4.44,5.53,7.15,5.67,H
5,2,4,4,5,5,3,4,5,5,3.61,0.36,1.62,0.97,4.03,1.24,0.65,1.68,3.15,2.97,H
2,1,2,4,3,5,5,3,2,3,2.64,0.74,1.27,0.32,1.98,0.50,2.26,1.64,2.38,2.49,H
2,2,2,2,2,4,2,2,2,4,7.04,2.85,3.37,6.02,4.86,0.81,3.95,4.92,6.36,1.04,H
4,2,5,4,2,4,4,3,3,3,1.39,0.71,1.21,1.30,1.21,1.61,2.61,1.64,1.74,2.49,H
4,2,2,2,3,2,2,2,4,2,0.70,2.49,2.95,5.26,0.66,13.36,3.45,4.30,0.95,4.41,H
4,2,1,1,5,5,2,3,5,5,0.35,0.71,2.77,2.61,3.22,1.00,0.99,0.55,2.52,2.37,H
4,2,2,4,5,5,2,4,5,5,1.04,1.07,1.27,0.97,3.22,1.00,1.48,1.68,2.52,2.37,H
3,2,3,3,2,4,3,2,3,3,3.97,1.07,3.82,4.34,1.82,0.40,3.87,1.84,3.48,4.98,H
3,3,3,4,4,4,3,2,3,2,3.31,3.71,3.19,0.97,1.57,1.21,3.23,1.23,2.90,1.26,H
4,4,2,4,5,5,3,4,5,4,1.74,4.09,0.42,1.62,2.42,0.75,0.65,2.80,1.89,2.61,H
2,1,2,4,3,5,2,3,5,5,2.64,0.74,1.27,0.32,1.32,0.75,1.48,1.09,1.89,1.78,H
4,4,3,4,3,4,3,3,3,3,1.39,3.27,3.82,1.30,3.97,1.61,3.87,3.28,3.48,4.98,H
4,2,2,4,4,4,2,2,4,2,1.74,1.78,2.11,1.62,2.61,2.02,2.47,3.07,2.39,3.15,H
3,1,2,4,2,5,1,2,3,4,1.32,1.48,1.27,0.65,1.82,0.25,1.61,1.84,1.16,1.04,H
5,4,1,2,5,4,1,1,5,4,2.17,2.45,4.16,0.75,2.42,1.21,2.42,2.68,1.89,1.57,H
5,5,2,4,2,5,2,3,3,2,2.17,4.03,1.69,0.32,2.43,0.75,1.97,1.09,1.16,2.52,H
4,2,4,2,4,5,4,2,4,4,2.09,1.07,3.24,2.26,3.13,0.25,3.92,1.84,2.86,3.13,H
