EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,2,2,4,4,5,2,2,4,2,1.31,1.66,2.46,1.19,2.14,0.24,2.43,2.68,1.73,3.11,H
3,2,3,3,3,4,3,2,2,4,3.54,1.00,2.81,3.27,3.80,0.82,3.31,1.61,2.61,1.08,H
3,3,4,4,3,4,2,2,2,2,2.13,2.15,1.86,0.89,2.28,1.24,1.95,2.14,3.48,2.49,H
3,4,2,4,3,4,2,4,5,4,1.42,4.50,0.98,1.49,1.52,2.06,0.97,2.68,0.68,2.71,H
4,2,3,4,4,4,4,4,4,3,2.30,0.33,1.12,2.08,3.75,2.89,4.14,3.75,3.03,1.56,H
5,3,2,4,2,4,1,1,4,4,0.66,0.72,0.98,1.19,1.12,1.65,1.77,2.00,1.73,2.17,H
3,2,4,2,3,4,4,3,5,4,2.13,0.66,2.49,1.80,2.28,1.65,2.36,1.99,0.68,2.17,H
5,5,1,4,4,5,1,2,4,4,1.99,4.22,2.43,1.19,2.14,0.73,1.77,0.54,1.73,2.17,H
3,4,2,2,2,4,1,1,4,5,0.71,2.70,1.48,2.70,1.69,1.24,1.77,2.00,1.30,0.61,H
4,4,2,4,3,5,2,2,3,5,0.98,2.70,1.48,0.89,1.52,0.49,1.46,1.61,1.24,1.21,H
2,2,4,4,2,5,2,2,3,2,5.89,1.99,1.24,0.59,3.37,0.24,2.92,3.21,0.62,3.73,H
5,5,2,3,3,4,1,2,3,1,1.33,2.81,0.98,1.96,2.28,0.41,1.77,1.07,1.86,2.43,H
4,4,4,5,4,5,3,4,5,1,1.64,4.50,3.11,2.79,2.68,0.73,0.66,2.68,2.04,1.22,H
5,4,1,4,1,5,2,2,1,1,1.33,1.80,4.86,0.59,4.33,0.49,0.97,1.07,5.28,4.86,H
3,1,2,3,4,5,4,5,4,5,1.42,0.75,0.49,1.31,1.61,0.73,1.77,3.00,1.30,1.82,H
